Numbered Topic,Topic,Subtopic,Subsubtopic,Learning Outcome,Code
005.Foundations for inference,Foundations for inference,Topic Outcome,,"Calculate the sampling variability of the proportion, the standard error, as $SE = \sqrt{\frac{p(1-p)}{n}}$, where $p$ is the population proportion.",5.1.1.2
005.Foundations for inference,Foundations for inference,Topic Outcome,,"Standard error measures the variability in point estimates from different samples of the same size and from the same population, i.e. measures the sampling variability.",5.1.1.3
005.Foundations for inference,Foundations for inference,Topic Outcome,,Recognize that when the sample size increases we would expect the sampling variability to decrease.,5.1.1.4
005.Foundations for inference,Foundations for inference,Topic Outcome,,Notice that sampling distributions of point estimates coming from samples that don't meet the required conditions for the CLT (about sample size and independence) will not be normal.,5.1.1.5
005.Foundations for inference,Foundations for inference,Topic Outcome,,Define a confidence interval as the plausible range of values for a population parameter.,5.1.1.6
005.Foundations for inference,Foundations for inference,Topic Outcome,,Define the confidence level as the percentage of random samples which yield confidence intervals that capture the true population parameter.,5.1.1.7
005.Foundations for inference,Foundations for inference,Topic Outcome,,Calculate an approximate 95\% confidence interval by adding and subtracting 2 standard errors to the point estimate; $point~estimate \pm 2 \times SE$.,5.1.1.8
005.Foundations for inference,Foundations for inference,Topic Outcome,,"Recognize that the Central Limit Theorem (CLT) is about the distribution of point estimates, and that given certain conditions, this distribution will be nearly normal.",5.1.1.9
005.Foundations for inference,Foundations for inference,Topic Outcome,,Recall that independence of observations in a sample is provided by random sampling (in the case of observational studies) or random assignment (in the case of experiments).,5.1.1.10
005.Foundations for inference,Foundations for inference,Topic Outcome,,"Recognize that the nearly normal distribution of the point estimate (as suggested by the CLT) implies that a more precise confidence interval can be calculated as $point~estimate \pm z^{\star} \times SE$, where $z^{\star}$ corresponds to the cutoff points in the standard normal distribution to capture the middle XX\% of the data, where XX\% is the desired confidence level.",5.1.1.11
005.Foundations for inference,Foundations for inference,Topic Outcome,,"Define margin of error as the distance required to travel in either direction away from the point estimate when constructing a confidence interval, i.e. $z^{\star} \times SE$.",5.1.1.12
005.Foundations for inference,Foundations for inference,Topic Outcome,,"Interpret a confidence interval as ``We are XX\% confident that the true population parameter is in this interval"", where XX\% is the desired confidence level.",5.1.1.13
005.Foundations for inference,Foundations for inference,Topic Outcome,,Explain how the hypothesis testing framework resembles a court trial.,5.1.1.14
005.Foundations for inference,Foundations for inference,Topic Outcome,,"Recognize that in hypothesis testing we evaluate two competing claims, the null and alternative hypothesis.",5.1.1.15
005.Foundations for inference,Foundations for inference,Topic Outcome,,Construction of hypotheses.,5.1.1.16
005.Foundations for inference,Foundations for inference,Topic Outcome,,Define a p-value as the conditional probability of obtaining a sample statistic at least as extreme as the one observed given that the null hypothesis is true.,5.1.1.17
005.Foundations for inference,Foundations for inference,Topic Outcome,,"Calculate a p-value as the area under the normal curve beyond the observed sample proportion (either in one tail or both, depending on the alternative hypothesis).",5.1.1.18
005.Foundations for inference,Foundations for inference,Topic Outcome,,Infer that if a confidence interval does not contain the null value the null hypothesis should be rejected in favor of the alternative.,5.1.1.19
005.Foundations for inference,Foundations for inference,Topic Outcome,,Compare the p-value to the significance level to make a decision between the hypotheses.,5.1.1.20
005.Foundations for inference,Foundations for inference,Topic Outcome,,Note that the conclusion of a hypothesis test might be erroneous regardless of the decision we make.,5.1.1.21
005.Foundations for inference,Foundations for inference,Topic Outcome,,Choose a significance level depending on the risks associated with Type 1 and Type 2 errors.,5.1.1.22
005.Foundations for inference,Foundations for inference,Topic Outcome,,Formulate the framework for statistical inference using hypothesis testing and nearly normal point estimates.,5.1.1.23
005.Foundations for inference,Foundations for inference,Topic Outcome,,"If the conditions necessary for the CLT to hold are not met, note this and do not go forward with the analysis. (We will later learn about methods to use in these situations.)",5.1.1.24
005.Foundations for inference,Foundations for inference,Topic Outcome,,Distinguish statistical significance vs. practical significance.,5.1.1.25
006.Inference for categorical data,Inference for categorical data,Topic Outcome,,Define population proportion $p$ (parameter) and sample proportion $\hat{p}$ (point estimate).,6.1.1.0
006.Inference for categorical data,Inference for categorical data,Topic Outcome,,"Calculate the sampling variability of the proportion, the standard error.",6.1.1.1
006.Inference for categorical data,Inference for categorical data,Topic Outcome,,"Recognize that the Central Limit Theorem (CLT) is about the distribution of point estimates, and that given certain conditions, this distribution will be nearly normal.",6.1.1.2
006.Inference for categorical data,Inference for categorical data,Topic Outcome,,"Note that if the CLT doesn't apply and the sample proportion is low (close to 0) the sampling distribution will likely be right skewed, if the sample proportion is high (close to 1) the sampling distribution will likely be left skewed.",6.1.1.3
006.Inference for categorical data,Inference for categorical data,Topic Outcome,,Remember how confidence intervals and test statistics are calculated.,6.1.1.4
006.Inference for categorical data,Inference for categorical data,Topic Outcome,,"Note that the standard error calculation for the confidence interval and the hypothesis test are different when dealing with proportions, since in the hypothesis test we need to assume that the null hypothesis is true -- remember; p-value = P(observed or more extreme test statistic $|$ $H_0$ true).",6.1.1.5
006.Inference for categorical data,Inference for categorical data,Topic Outcome,,"Calculate the required minimum sample size for a given margin of error at a given confidence level, and explain why we use $\hat{p} = 0.5$ if there are no previous studies suggesting a more accurate estimate.",6.1.1.6
006.Inference for categorical data,Inference for categorical data,Topic Outcome,,Note that the calculation of the standard error of the distribution of the difference in two independent sample proportions is different for a confidence interval and a hypothesis test.,6.1.1.7
006.Inference for categorical data,Inference for categorical data,Topic Outcome,,"Note that the reason for the difference in calculations of standard error is the same as in the case of the single proportion; when the null hypothesis claims that the two population proportions are equal, we need to take that into consideration when calculating the standard error for the hypothesis test, and use a common proportion for both samples.",6.1.1.8
006.Inference for categorical data,Inference for categorical data,Topic Outcome,,Use a chi-square test of goodness of fit to evaluate if the distribution of levels of a single categorical variable follows a hypothesized distribution.,6.1.1.9
006.Inference for categorical data,Inference for categorical data,Topic Outcome,,Calculate the expected counts for a given level (cell) in a one-way table as the sample size times the hypothesized proportion for that level.,6.1.1.10
006.Inference for categorical data,Inference for categorical data,Topic Outcome,,Calculate the chi-square test statistic.,6.1.1.11
006.Inference for categorical data,Inference for categorical data,Topic Outcome,,"Note that the chi-square distribution is right skewed with one parameter; degrees of freedom. In the case of a goodness of fit test, $df = \# \text{of categories} - 1$.",6.1.1.12
006.Inference for categorical data,Inference for categorical data,Topic Outcome,,List the conditions necessary for performing a chi-square test (goodness of fit or independence).,6.1.1.13
006.Inference for categorical data,Inference for categorical data,Topic Outcome,,Describe how to use the chi-square table to obtain a p-value.,6.1.1.14
006.Inference for categorical data,Inference for categorical data,Topic Outcome,,"When evaluating the independence of two categorical variables where at least one has more than two levels, use a chi-square test of independence.",6.1.1.15
006.Inference for categorical data,Inference for categorical data,Topic Outcome,,Calculate expected counts in two-way tables.,6.1.1.16
006.Inference for categorical data,Inference for categorical data,Topic Outcome,,"Calculate the degrees of freedom for chi-square test of independence as $df = (R - 1) \times (C - 1)$, where $R$ is the number of rows in a two-way table, and $C$ is the number of columns.",6.1.1.17
006.Inference for categorical data,Inference for categorical data,Topic Outcome,,"Note that there is no such thing as a chi-square confidence interval for proportions, since in the case of a categorical variables with many levels, there isn't one parameter to estimate.",6.1.1.18
006.Inference for categorical data,Inference for categorical data,Topic Outcome,,Use simulation methods when sample size conditions aren't met for inference for categorical variables.,6.1.1.19
006.Inference for categorical data,Inference for categorical data,Topic Outcome,,"In hypothesis testing; for one categorical variable, generate simulated samples based on the null hypothesis, and then calculate the number of samples that are at least as extreme as the observed data. For two categorical variables, use a randomization test.",6.1.1.20
006.Inference for categorical data,Inference for categorical data,Topic Outcome,,Use bootstrap methods for confidence intervals for categorical variables with at most two levels.,6.1.1.21
007.Inference for numerical data,Inference for numerical data,Topic Outcome,,"Use the $t$-distribution for inference on a single mean, difference of paired (dependent) means, and difference of independent means.",7.1.1.0
007.Inference for numerical data,Inference for numerical data,Topic Outcome,,"Explain why the $t$-distribution helps make up for the additional variability introduced by using $s$ (sample standard deviation) in calculation of the standard error, in place of $\sigma$ (population standard deviation).",7.1.1.1
007.Inference for numerical data,Inference for numerical data,Topic Outcome,,"Describe how the $t$-distribution is different from the normal distribution, and what ?heavy tail? means in this context.",7.1.1.2
007.Inference for numerical data,Inference for numerical data,Topic Outcome,,"Note that the $t$-distribution has a single parameter, degrees of freedom, and as the degrees of freedom increases this distribution approaches the normal distribution.",7.1.1.3
007.Inference for numerical data,Inference for numerical data,Topic Outcome,,"Use a $t$-statistic, with degrees of freedom $df = n - 1$ for inference for a population mean.",7.1.1.4
007.Inference for numerical data,Inference for numerical data,Topic Outcome,,Describe how to obtain a p-value for a $t$-test and a critical $t$-score ($t^\star_{df}$) for a confidence interval.,7.1.1.5
007.Inference for numerical data,Inference for numerical data,Topic Outcome,,Define observations as paired if each observation in one dataset has a special correspondence or connection with exactly one observation in the other data set.,7.1.1.6
007.Inference for numerical data,Inference for numerical data,Topic Outcome,,"Carry out inference for paired data by first subtracting the paired observations from each other, and then treating the set of differences as a new numerical variable on which to do inference (such as a confidence interval or hypothesis test for the average difference).",7.1.1.7
007.Inference for numerical data,Inference for numerical data,Topic Outcome,,Calculate the standard error of the difference between means of two paired (dependent) samples as $SE = \frac{s_{diff}}{\sqrt{n_{diff}}}$ and use this standard error in hypothesis testing and confidence intervals comparing means of paired (dependent) groups.,7.1.1.8
007.Inference for numerical data,Inference for numerical data,Topic Outcome,,"Use a $t$-statistic, with degrees of freedom $df = n_{diff} - 1$ for inference for a population mean.",7.1.1.9
007.Inference for numerical data,Inference for numerical data,Topic Outcome,,Recognize that a good interpretation of a confidence interval for the difference between two parameters includes a comparative statement (mentioning which group has the larger parameter).,7.1.1.10
007.Inference for numerical data,Inference for numerical data,Topic Outcome,,Recognize that a confidence interval for the difference between two parameters that doesn't include 0 is in agreement with a hypothesis test where the null hypothesis that sets the two parameters equal to each other is rejected.,7.1.1.11
007.Inference for numerical data,Inference for numerical data,Topic Outcome,,"Calculate the standard error of the difference between means of two independent samples as $SE = \sqrt{\frac{s_1^2}{n_1} + \frac{s_2^2}{n_2}}$, and use this standard error in hypothesis testing and confidence intervals comparing means of independent groups.",7.1.1.12
007.Inference for numerical data,Inference for numerical data,Topic Outcome,,"Use a $t$-statistic, with degrees of freedom $df = min(n_1 - 1, n_2 - 1)$ for inference for a population mean.",7.1.1.13
007.Inference for numerical data,Inference for numerical data,Topic Outcome,,"Calculate the power of a test for a given effect size and significance level in two steps; (1) Find the cutoff for the sample statistic that will allow the null hypothesis to be rejected at the given significance level, (2) Calculate the probability of obtaining that sample statistic given the effect size.",7.1.1.14
007.Inference for numerical data,Inference for numerical data,Topic Outcome,,"Explain how power changes for changes in effect size, sample size, significance level, and standard error.",7.1.1.15
007.Inference for numerical data,Inference for numerical data,Topic Outcome,,Define analysis of variance (ANOVA) as a statistical inference method that is used to determine if the variability in the sample means is so large that it seems unlikely to be from chance alone by simultaneously considering many groups at once.,7.1.1.16
007.Inference for numerical data,Inference for numerical data,Topic Outcome,,"Recognize that the null hypothesis in ANOVA sets all means equal to each other, and the alternative hypothesis suggest that at least one mean is different.",7.1.1.17
007.Inference for numerical data,Inference for numerical data,Topic Outcome,,List the conditions necessary for performing ANOVA and check if they are met using graphical diagnostics.,7.1.1.18
007.Inference for numerical data,Inference for numerical data,Topic Outcome,,"Recognize that the test statistic for ANOVA, the F statistic, is calculated as the ratio of the mean square between groups (MSG, variability between groups) and mean square error (MSE, variability within errors), and has two degrees of freedom, one for the numerator ($df_{G} = k - 1$, where $k$ is the number of groups) and one for the denominator ($df_{E} = n - k$, where $n$ is the total sample size).",7.1.1.19
007.Inference for numerical data,Inference for numerical data,Topic Outcome,,"Describe why calculation of the p-value for ANOVA is always ``one sided"".",7.1.1.20
007.Inference for numerical data,Inference for numerical data,Topic Outcome,,"Describe why conducting many $t$-tests for differences between each pair of means leads to an increased Type 1 Error rate, and we use a corrected significance level (Bonferroni correction, $\alpha^\star = \alpha / K$, where $K$ is the e number of comparisons being considered) to combat inflating this error rate.",7.1.1.21
007.Inference for numerical data,Inference for numerical data,Topic Outcome,,Describe why it is possible to reject the null hypothesis in ANOVA but not find significant differences between groups as a result of pairwise comparisons.,7.1.1.22
008.Introduction to linear regression,Introduction to linear regression,Topic Outcome,,"Define the explanatory variable as the independent variable (predictor), and the response variable as the dependent variable (predicted).",8.1.1.0
008.Introduction to linear regression,Introduction to linear regression,Topic Outcome,,"Plot the explanatory variable ($x$) on the x-axis and the response variable ($y$) on the y-axis, and fit a linear regression model.",8.1.1.1
008.Introduction to linear regression,Introduction to linear regression,Topic Outcome,,"When describing the association between two numerical variables, evaluate direction, form and strength.",8.1.1.2
008.Introduction to linear regression,Introduction to linear regression,Topic Outcome,,Define correlation as the linear association between two numerical variables.,8.1.1.3
008.Introduction to linear regression,Introduction to linear regression,Topic Outcome,,"Note the correlation coefficient ($r$, also called Pearson's $r$) and its following properties.",8.1.1.4
008.Introduction to linear regression,Introduction to linear regression,Topic Outcome,,Recall that correlation does not imply causation.,8.1.1.5
008.Introduction to linear regression,Introduction to linear regression,Topic Outcome,,Define residual ($e$) as the difference between the observed ($y$) and predicted ($\hat{y}$) values of the response variable.,8.1.1.6
008.Introduction to linear regression,Introduction to linear regression,Topic Outcome,,"Define the least squares line as the line that minimizes the sum of the squared residuals, and list conditions necessary for fitting such line; linearity, nearly normal residuals and constant variability.",8.1.1.7
008.Introduction to linear regression,Introduction to linear regression,Topic Outcome,,Define an indicator variable as a binary explanatory variable (with two levels).,8.1.1.8
008.Introduction to linear regression,Introduction to linear regression,Topic Outcome,,Calculate the estimate for the slope ($b_1$).,8.1.1.9
008.Introduction to linear regression,Introduction to linear regression,Topic Outcome,,Interpret the slope.,8.1.1.10
008.Introduction to linear regression,Introduction to linear regression,Topic Outcome,,"Note that the least squares line always passes through the average of the response and explanatory variables ($\bar{x},\bar{y}$).",8.1.1.11
008.Introduction to linear regression,Introduction to linear regression,Topic Outcome,,"Use the above property to calculate the estimate for the slope ($b_0$) as $b_0 = \bar{y} - b_1 \bar{x}$, where $b_1$ is the slope, $\bar{y}$ is the average of the response variable, and $\bar{x}$ is the average of explanatory variable.",8.1.1.12
008.Introduction to linear regression,Introduction to linear regression,Topic Outcome,,Interpret the intercept.,8.1.1.13
008.Introduction to linear regression,Introduction to linear regression,Topic Outcome,,"Predict the value of the response variable for a given value of the explanatory variable, $x^\star$, by plugging in $x^\star$ in the linear model.",8.1.1.14
008.Introduction to linear regression,Introduction to linear regression,Topic Outcome,,Define $R^2$ as the percentage of the variability in the response variable explained by the the explanatory variable.,8.1.1.15
008.Introduction to linear regression,Introduction to linear regression,Topic Outcome,,Define a leverage point as a point that lies away from the center of the data in the horizontal direction.,8.1.1.16
008.Introduction to linear regression,Introduction to linear regression,Topic Outcome,,Define an influential point as a point that influences (changes) the slope of the regression line.,8.1.1.17
008.Introduction to linear regression,Introduction to linear regression,Topic Outcome,,Do not remove outliers from an analysis without good reason.,8.1.1.18
008.Introduction to linear regression,Introduction to linear regression,Topic Outcome,,"Be cautious about using a categorical explanatory variable when one of the levels has very few observations, as these may act as influential points.",8.1.1.19
008.Introduction to linear regression,Introduction to linear regression,Topic Outcome,,Determine whether an explanatory variable is a significant predictor for the response variable using the $t$-test and the associated p-value in the regression output.,8.1.1.20
008.Introduction to linear regression,Introduction to linear regression,Topic Outcome,,"Set the null hypothesis testing for the significance of the predictor as $H_0:\beta_1 = 0$, and recognize that the standard software output yields the p-value for the two-sided alternative hypothesis.",8.1.1.21
008.Introduction to linear regression,Introduction to linear regression,Topic Outcome,,Calculate the T score for the hypothesis test.,8.1.1.22
008.Introduction to linear regression,Introduction to linear regression,Topic Outcome,,"Note that a hypothesis test for the intercept is often irrelevant since it's usually out of the range of the data, and hence it is usually an extrapolation.",8.1.1.23
008.Introduction to linear regression,Introduction to linear regression,Topic Outcome,,Calculate a confidence interval for the slope.,8.1.1.24
009.Multiple and logistic regression,Multiple and logistic regression,Topic Outcome,,Define the multiple linear regression model.,9.1.1.0
009.Multiple and logistic regression,Multiple and logistic regression,Topic Outcome,,"Interpret the estimate for the intercept ($b_0$) as the expected value of $y$ when all predictors are equal to 0, on average.",9.1.1.1
009.Multiple and logistic regression,Multiple and logistic regression,Topic Outcome,,"Interpret the estimate for a slope (say $b_1$) as ``All else held constant, for each unit increase in $x_1$, we would expect $y$ to increase/decrease on average by $b_1$.""",9.1.1.2
009.Multiple and logistic regression,Multiple and logistic regression,Topic Outcome,,Define collinearity as a high correlation between two independent variables such that the two variables contribute redundant information to the model -- which is something we want to avoid in multiple linear regression.,9.1.1.3
009.Multiple and logistic regression,Multiple and logistic regression,Topic Outcome,,"Note that $R^2$ will increase with each explanatory variable added to the model, regardless of whether or not the added variables is a meaningful predictor of the response variable. Therefore we use adjusted $R^2$, which applies a penalty for the number of predictors included in the model, to better assess the strength of a multiple linear regression model.",9.1.1.4
009.Multiple and logistic regression,Multiple and logistic regression,Topic Outcome,,Define model selection as identifying the best model for predicting a given response variable.,9.1.1.5
009.Multiple and logistic regression,Multiple and logistic regression,Topic Outcome,,Note that we usually prefer simpler (parsimonious) models over more complicated ones.,9.1.1.6
009.Multiple and logistic regression,Multiple and logistic regression,Topic Outcome,,Define the full model as the model with all explanatory variables included as predictors.,9.1.1.7
009.Multiple and logistic regression,Multiple and logistic regression,Topic Outcome,,"Note that the p-values associated with each predictor are conditional on other variables being included in the model, so they can be used to assess if a given predictor is significant, given that all others are in the model.",9.1.1.8
009.Multiple and logistic regression,Multiple and logistic regression,Topic Outcome,,Stepwise model selection (backward or forward) can be done based based on adjusted $R^2$ (choose the model with higher adjusted $R^2$).,9.1.1.9
009.Multiple and logistic regression,Multiple and logistic regression,Topic Outcome,,The general idea behind backward-selection is to start with the full model and eliminate one variable at a time until the ideal model is reached.,9.1.1.10
009.Multiple and logistic regression,Multiple and logistic regression,Topic Outcome,,The general idea behind forward-selection is to start with only one variable and adding one variable at a time until the ideal model is reached.,9.1.1.11
009.Multiple and logistic regression,Multiple and logistic regression,Topic Outcome,,"Adjusted $R^2$ method is more computationally intensive, but it is more reliable, since it doesn't depend on an arbitrary significant level.",9.1.1.12
009.Multiple and logistic regression,Multiple and logistic regression,Topic Outcome,,"List the conditions for multiple linear regression as; (1) linear relationship between each (numerical) explanatory variable and the response - checked using scatterplots of $y$ vs. each $x$, and residuals plots of $residuals$ vs. each $x$, (2) nearly normal residuals with mean 0 - checked using a normal probability plot and histogram of residuals, (3) constant variability of residuals - checked using residuals plots of $residuals$ vs. $\hat{y}$, and $residuals$ vs. each $x$, (4) independence of residuals (and hence observations) - checked using a scatterplot of $residuals$ vs. order of data collection (will reveal non-independence if data have time series structure).",9.1.1.13
009.Multiple and logistic regression,Multiple and logistic regression,Topic Outcome,,"Note that no model is perfect, but even imperfect models can be useful.",9.1.1.14
